"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ID=BJEIHDPM_02993;eC_number=3.1.-.-;Name=wapA_3;gene=wapA_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:D4G3R4;locus_tag=BJEIHDPM_02993;product=tRNA(Glu)-specific nuclease WapA",-5.15070425833496,8.5584584587592,-25.7794193192454,3.14401945024972e-29,6.13391817302329e-27,56.1113182557399
"ID=BJEIHDPM_00926;eC_number=5.1.3.13;Name=rmlC_1;dbxref=COG:COG1898;gene=rmlC_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9HU21;locus_tag=BJEIHDPM_00926;product=dTDP-4-dehydrorhamnose 3%2C5-epimerase",5.652510853321,7.78331472155059,25.7698376394213,3.19541475985794e-29,6.13391817302329e-27,56.2116289611489
"ID=BJEIHDPM_03395;eC_number=4.2.1.135;Name=pglF;dbxref=COG:COG1086;gene=pglF;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q0P9D4;locus_tag=BJEIHDPM_03395;product=UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase",5.0243744229573,12.792927307038,25.7151276342109,3.50574142874994e-29,6.17349597213865e-27,56.3780795937926
"ID=BJEIHDPM_02534;Name=btuB_1;gene=btuB_1;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01531;locus_tag=BJEIHDPM_02534;product=Vitamin B12 transporter BtuB",-5.03938232809102,8.72188974677145,-25.7006159133153,3.59310026102194e-29,6.17349597213865e-27,56.0495819897263
"ID=BJEIHDPM_02008;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_02008;product=hypothetical protein",-5.02198910624095,8.79432737642899,-25.6991649039947,3.60195639132907e-29,6.17349597213865e-27,56.0674141150854
"ID=BJEIHDPM_01622;eC_number=2.6.1.48;Name=davT_1;dbxref=COG:COG0160;gene=davT_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9I6M4;locus_tag=BJEIHDPM_01622;product=5-aminovalerate aminotransferase DavT",-5.08177923753778,8.72700797502318,-25.5149587637229,4.92823714853199e-29,7.76841759474162e-27,55.7406418892095
"ID=BJEIHDPM_01651;eC_number=6.3.2.-;Name=vgrG1_1;gene=vgrG1_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0A0H3AIG7;locus_tag=BJEIHDPM_01651;product=Actin cross-linking toxin VgrG1",-5.40109555568301,8.54474759691184,-25.5033029968434,5.02730821222021e-29,7.76841759474162e-27,55.6277562126211
"ID=BJEIHDPM_02987;Name=rhsD;dbxref=COG:COG3209;gene=rhsD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16919;locus_tag=BJEIHDPM_02987;product=Protein RhsD",-5.02737002790537,9.10418703532974,-25.4867668569624,5.1713579715625e-29,7.76841759474162e-27,55.7765145463357
"ID=BJEIHDPM_01250;eC_number=2.8.4.4;Name=rimO_2;gene=rimO_2;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01865;locus_tag=BJEIHDPM_01250;product=Ribosomal protein S12 methylthiotransferase RimO",-5.29623976967711,8.12025777343047,-25.4857870510257,5.18002423487668e-29,7.76841759474162e-27,55.4809508819761
"ID=BJEIHDPM_01639;eC_number=6.2.1.3;dbxref=COG:COG0318;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5SKN9;locus_tag=BJEIHDPM_01639;product=Long-chain-fatty-acid--CoA ligase",-5.04810607396553,8.64599261060006,-25.4490699113291,5.51569140062436e-29,8.02115243381706e-27,55.6336357574941
"ID=BJEIHDPM_03587;eC_number=2.4.1.293;Name=pglI;dbxref=COG:COG0463;gene=pglI;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q0P9C6;locus_tag=BJEIHDPM_03587;product=GalNAc(5)-diNAcBac-PP-undecaprenol beta-1%2C3-glucosyltransferase",-5.11916271682262,8.63028654754091,-25.3516745245017,6.51773955159259e-29,9.19959767885084e-27,55.4364495359905
"ID=BJEIHDPM_02988;eC_number=3.1.-.-;Name=wapA_2;gene=wapA_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:D4G3R4;locus_tag=BJEIHDPM_02988;product=tRNA(Glu)-specific nuclease WapA",-5.38032878588621,8.79452061709393,-25.2592539947108,7.64037710061425e-29,1.04760484873851e-26,55.2962347186954
"ID=BJEIHDPM_02786;Name=pilY1_1;gene=pilY1_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q87B49;locus_tag=BJEIHDPM_02786;product=Type IV pilus biogenesis factor PilY1",-5.23819287639465,9.10865852755704,-25.1766230211537,8.81064178345446e-29,1.17450749774439e-26,55.2451156590652
"ID=BJEIHDPM_01483;Name=mrcA;dbxref=COG:COG5009;gene=mrcA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q07806;locus_tag=BJEIHDPM_01483;product=Penicillin-binding protein 1A",-4.88994423210932,8.2782977330752,-25.1430213944553,9.33740874260553e-29,1.20672555954742e-26,55.03346714176
"ID=BJEIHDPM_03057;eC_number=3.4.21.-;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P09489;locus_tag=BJEIHDPM_03057;product=Extracellular serine protease",-5.12466427405797,8.42294358475165,-25.1296881742393,9.55523468697689e-29,1.20672555954742e-26,54.9951666112318
"ID=BJEIHDPM_01830;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01830;product=hypothetical protein",-4.69012714293276,9.20035972728721,-25.0600820069787,1.07795207969853e-28,1.30852589708707e-26,55.1465498661575
"ID=BJEIHDPM_01425;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01425;product=hypothetical protein",-5.24639880155932,8.53856400958508,-25.0533213375132,1.09066546954538e-28,1.30852589708707e-26,54.8945653047211
"ID=BJEIHDPM_03771;Name=lgrB_3;gene=lgrB_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q70LM6;locus_tag=BJEIHDPM_03771;product=Linear gramicidin synthase subunit B",-5.21721938595937,8.53340558371241,-24.9859546610967,1.22601808334454e-28,1.43503921511474e-26,54.7706211415313
"ID=BJEIHDPM_02351;eC_number=1.3.8.-;Name=dmdC_3;dbxref=COG:COG1960;gene=dmdC_3;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5LLW7;locus_tag=BJEIHDPM_02351;product=3-methylmercaptopropionyl-CoA dehydrogenase",-5.20444034282406,8.35717532840972,-24.9367810095514,1.33553880694818e-28,1.52601207965341e-26,54.6789845614204
"ID=BJEIHDPM_01780;Name=cmpB_1;dbxref=COG:COG0600;gene=cmpB_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q55106;locus_tag=BJEIHDPM_01780;product=Bicarbonate transport system permease protein CmpB",-5.10291770542946,7.796448558514,-24.8480175772989,1.55917157846725e-28,1.74010800117775e-26,54.396073621951
"ID=BJEIHDPM_05224;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_05224;product=hypothetical protein",5.99714377543224,8.67607776964729,24.616967193987,2.33823586125578e-28,2.43002468182037e-26,54.4101630252986
"ID=BJEIHDPM_05220;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q881J7;locus_tag=BJEIHDPM_05220;product=Blue-light-activated protein",4.6427868135382,9.30691512755055,24.6168426256622,2.33874884163868e-28,2.43002468182037e-26,54.5042402576234
"ID=BJEIHDPM_01368;Name=mscK;dbxref=COG:COG3264;gene=mscK;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P77338;locus_tag=BJEIHDPM_01368;product=Mechanosensitive channel MscK",-5.28095500409678,8.1367001826645,-24.606683627819,2.38097299197366e-28,2.43002468182037e-26,54.0487017558325
"ID=BJEIHDPM_00449;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00449;product=hypothetical protein",-5.22092615155791,8.72179650068219,-24.6065790222534,2.38141178771851e-28,2.43002468182037e-26,54.2040818519251
"ID=BJEIHDPM_03394;eC_number=2.7.8.33;Name=tagO;dbxref=COG:COG0472;gene=tagO;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34753;locus_tag=BJEIHDPM_03394;product=putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase",5.18680470140904,10.0732495806977,24.5949919291565,2.43053104245422e-28,2.43002468182037e-26,54.4817648318224
"ID=BJEIHDPM_00437;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00437;product=hypothetical protein",-5.44788808131083,8.46381561624712,-24.4694160172265,3.03406866042381e-28,2.97152969415793e-26,53.8629691852525
"ID=BJEIHDPM_03862;eC_number=3.1.-.-;Name=wapA_5;dbxref=COG:COG3209;gene=wapA_5;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q07833;locus_tag=BJEIHDPM_03862;product=tRNA nuclease WapA",-5.26963038698737,8.58316564783552,-24.398805868917,3.43854138976728e-28,3.30031202589864e-26,53.8164009052169
"ID=BJEIHDPM_00072;Name=inaZ;gene=inaZ;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P06620;locus_tag=BJEIHDPM_00072;product=Ice nucleation protein",-5.00290394158028,8.05427445115287,-24.2704608933973,4.32024330252948e-28,4.06526423702725e-26,53.4929942775715
"ID=BJEIHDPM_00793;eC_number=3.1.-.-;Name=wapA_1;dbxref=COG:COG3209;gene=wapA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q07833;locus_tag=BJEIHDPM_00793;product=tRNA nuclease WapA",-5.19508075211738,8.39076381153827,-24.2230273019072,4.7017520990998e-28,4.33917467761152e-26,53.4526209086954
"ID=BJEIHDPM_02414;eC_number=2.7.1.-;Name=amgK;dbxref=COG:COG3178;gene=amgK;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q88QT3;locus_tag=BJEIHDPM_02414;product=N-acetylmuramate/N-acetylglucosamine kinase",-5.61401468683559,7.70395481310586,-24.1461646825276,5.39440855563564e-28,4.88448427518782e-26,53.1163267728262
"ID=BJEIHDPM_03858;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_03858;product=hypothetical protein",-5.30125092647905,8.19656784335255,-24.1320981198704,5.53202536028784e-28,4.89923947343727e-26,53.2618613401657
"ID=BJEIHDPM_01474;eC_number=1.4.1.13;Name=gltB_1;dbxref=COG:COG0067;gene=gltB_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E1V8I1;locus_tag=BJEIHDPM_01474;product=Glutamate synthase [NADPH] large chain",-5.06321418297106,8.82926634393203,-24.1238000114505,5.61488166366014e-28,4.89923947343727e-26,53.4483817512567
"ID=BJEIHDPM_02085;eC_number=3.1.-.-;Name=pys2;dbxref=COG:COG3209;gene=pys2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q06584;locus_tag=BJEIHDPM_02085;product=Pyocin-S2",-5.36692146589269,8.12768678628697,-24.0222998511308,6.73702315388071e-28,5.77338823490599e-26,53.0556079871441
"ID=BJEIHDPM_03856;eC_number=3.1.-.-;Name=wapA_4;gene=wapA_4;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:G4NYJ6;locus_tag=BJEIHDPM_03856;product=tRNA3(Ser)-specific nuclease WapA",-5.41516189623284,8.64470302891952,-23.9330572942739,7.91181083625068e-28,6.66118950932755e-26,53.0031105339079
"ID=BJEIHDPM_01303;Name=tolC_1;dbxref=COG:COG1538;gene=tolC_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9K2Y1;locus_tag=BJEIHDPM_01303;product=Outer membrane protein TolC",-5.65451577448087,7.74874214131758,-23.8962907294568,8.45474004417379e-28,6.99556852965345e-26,52.7007208559167
"ID=BJEIHDPM_01180;eC_number=2.7.13.3;Name=barA_1;dbxref=COG:COG0784;gene=barA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEC6;locus_tag=BJEIHDPM_01180;product=Signal transduction histidine-protein kinase BarA",-5.41542258023791,8.86868425721195,-23.8762273591044,8.76688983402487e-28,7.13089903618396e-26,52.945666141407
"ID=BJEIHDPM_00562;eC_number=4.1.1.31;Name=ppc;dbxref=COG:COG2352;gene=ppc;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00864;locus_tag=BJEIHDPM_00562;product=Phosphoenolpyruvate carboxylase",-5.75900262198692,7.33522638100872,-23.8563779169851,9.08728298290698e-28,7.20773835915816e-26,52.4981471555416
"ID=BJEIHDPM_03592;Name=fliD;dbxref=COG:COG1345;gene=fliD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9K3C5;locus_tag=BJEIHDPM_03592;product=B-type flagellar hook-associated protein 2",-5.27604492522526,7.98076335551442,-23.8518671086765,9.1617428611929e-28,7.20773835915816e-26,52.7267508730614
"ID=BJEIHDPM_04820;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_04820;product=hypothetical protein",-5.4103736631379,7.94114529582029,-23.8116061336245,9.85452286498881e-28,7.62771858533569e-26,52.620417396595
"ID=BJEIHDPM_03758;Name=lgrB_1;gene=lgrB_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q70LM6;locus_tag=BJEIHDPM_03758;product=Linear gramicidin synthase subunit B",-5.44249288404054,9.15247749455377,-23.7978335593018,1.01035859903799e-27,7.69636653457667e-26,52.8641869098254
"ID=BJEIHDPM_02989;eC_number=3.1.-.-;Name=rhsA_2;dbxref=COG:COG3209;gene=rhsA_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E0SAK8;locus_tag=BJEIHDPM_02989;product=putative deoxyribonuclease RhsA",-5.35397418174691,8.49819121607748,-23.7543650507153,1.09325943380005e-27,8.19773753563503e-26,52.6625429206271
"ID=BJEIHDPM_01833;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01833;product=hypothetical protein",-5.21298105335985,8.83987292343231,-23.7366508446061,1.12900296948967e-27,8.31144702625591e-26,52.7469736478112
"ID=BJEIHDPM_01496;Name=fyuA_2;dbxref=COG:COG1629;gene=fyuA_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P46359;locus_tag=BJEIHDPM_01496;product=Pesticin receptor",-5.3672934401,8.14144027311273,-23.7298394722663,1.14306210404853e-27,8.31144702625591e-26,52.5544803782997
"ID=BJEIHDPM_01271;Name=nnr;dbxref=COG:COG0062;gene=nnr;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P31806;locus_tag=BJEIHDPM_01271;product=Bifunctional NAD(P)H-hydrate repair enzyme Nnr",-5.50112833634615,7.87739515743009,-23.708106851542,1.18912485954941e-27,8.51732865817557e-26,52.4205682371192
"ID=BJEIHDPM_01986;eC_number=2.8.3.-;dbxref=COG:COG0427;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q0AVM5;locus_tag=BJEIHDPM_01986;product=Butanoate coenzyme A-transferase",-5.01526225293677,7.89884268104334,-23.6863728860711,1.23708497048341e-27,8.73054525492631e-26,52.4526236568736
"ID=BJEIHDPM_00250;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00250;product=hypothetical protein",4.53236460497488,9.43830162945833,23.673011474392,1.26754408101728e-27,8.81586093449557e-26,52.8339081512948
"ID=BJEIHDPM_01249;dbxref=COG:COG1305;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WL93;locus_tag=BJEIHDPM_01249;product=putative protein",-5.28774031816496,8.22904523745834,-23.6604731945928,1.29682224995227e-27,8.8906428250299e-26,52.4522202590311
"ID=BJEIHDPM_02046;eC_number=2.7.13.3;Name=btsS;dbxref=COG:COG3275;gene=btsS;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AD14;locus_tag=BJEIHDPM_02046;product=Sensor histidine kinase BtsS",-5.24416868376329,8.02532371716982,-23.6340681320721,1.36075717206564e-27,9.13850105512221e-26,52.3571202303256
"ID=BJEIHDPM_02990;eC_number=2.4.2.31;Name=spvB;gene=spvB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P21454;locus_tag=BJEIHDPM_02990;product=Mono(ADP-ribosyl)transferase SpvB",-5.2119231153675,8.4726256593478,-23.629931436831,1.37106079593415e-27,9.13850105512221e-26,52.4557940349033
"ID=BJEIHDPM_01098;dbxref=COG:COG1292;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q87NZ5;locus_tag=BJEIHDPM_01098;product=Glycine betaine/proline/choline transporter",-5.18837769860204,7.9664660262547,-23.5460394654153,1.59808825561472e-27,1.04904417821154e-25,52.2127051092256
"ID=BJEIHDPM_03194;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_03194;product=hypothetical protein",-4.99674813746961,8.57940182588265,-23.5394013814682,1.61761344421033e-27,1.04904417821154e-25,52.3366189298655
"ID=BJEIHDPM_05207;Name=fhuA_4;dbxref=COG:COG1629;gene=fhuA_4;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P06971;locus_tag=BJEIHDPM_05207;product=Ferrichrome outer membrane transporter/phage receptor",-4.91772851566914,8.21463393391005,-23.5212677257982,1.67220089798551e-27,1.06998561459099e-25,52.2490416643996
"ID=BJEIHDPM_01655;eC_number=3.4.24.-;Name=htpX_1;gene=htpX_1;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00188;locus_tag=BJEIHDPM_01655;product=Protease HtpX",-5.11391813422772,8.52779868353701,-23.4262845469548,1.9904027886973e-27,1.24853839805633e-25,52.1184166256134
"ID=BJEIHDPM_02060;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_02060;product=hypothetical protein",-5.73076959843409,7.19218832737064,-23.4227742027607,2.00328103043004e-27,1.24853839805633e-25,51.7199430956414
"ID=BJEIHDPM_00183;Name=kch;dbxref=COG:COG1226;gene=kch;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P31069;locus_tag=BJEIHDPM_00183;product=Voltage-gated potassium channel Kch",-5.42001711088844,6.8896411189456,-23.4040191888075,2.07354062495744e-27,1.27575916143215e-25,51.6241429003999
"ID=BJEIHDPM_00973;Name=mrcB;dbxref=COG:COG0744;gene=mrcB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P02919;locus_tag=BJEIHDPM_00973;product=Penicillin-binding protein 1B",-5.08164493406521,8.06346678564636,-23.3430379032975,2.31984761788026e-27,1.40923401496296e-25,51.8753572591683
"ID=BJEIHDPM_01040;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01040;product=hypothetical protein",-5.4058202694368,8.15246635084635,-23.3289210108865,2.38100059895301e-27,1.42453672174007e-25,51.8441472586148
"ID=BJEIHDPM_01036;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01036;product=hypothetical protein",-5.11987895222777,8.29608668027205,-23.3236154320472,2.40440663598553e-27,1.42453672174007e-25,51.8916916006037
"ID=BJEIHDPM_01989;eC_number=1.8.2.3;Name=fccB;dbxref=COG:COG0446;gene=fccB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q06530;locus_tag=BJEIHDPM_01989;product=Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain",-5.31832067643652,7.99614718741621,-23.3130362489481,2.45178046809542e-27,1.43488956907194e-25,51.7921289220259
"ID=BJEIHDPM_03187;Name=fatA_1;gene=fatA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P11461;locus_tag=BJEIHDPM_03187;product=Ferric-anguibactin receptor FatA",-5.17604436846955,8.22141632116886,-23.3023922648543,2.50040540942689e-27,1.4457163325108e-25,51.8216413507078
